What is the primary function of a lexical analyzer in the compilation process?,It reads the source program character by character and translates them into a stream of tokens.
"In lexical analysis, a token is typically represented as a pair $(i, j)$. What does the value $i$ represent?",The type or class of the token.
What are four common categories of tokens recognized by a lexical analyzer?,"Keywords, identifiers, constants, and operators."
How does a lexical analyzer handle new identifiers encountered in the source code?,It creates a new entry for them in the symbol table.
"What is the purpose of using two pointers, 'token beginning' and 'lookahead pointer', in an input buffer?",They help identify and scan the boundaries of the token currently being discovered.
"In input buffering, what is a 'sentinel'?",A special character like 'eof' used at the end of a buffer to simplify boundary condition checks for the lookahead pointer.
What action does the `RETRACT()` function perform in a lexical analyzer's transition diagram?,It moves the lookahead pointer back one position to exclude a delimiter from the identified token.
"In the context of lexical specification, what is the definition of an alphabet $\Sigma$?",A finite set of symbols.
"Given an alphabet $\Sigma$, what is a language $L$?",A set of strings over the alphabet $\Sigma$ such that $L \subseteq \Sigma^*$.
What language is denoted by the regular expression $r^*$?,The set containing zero or more concatenations of strings from the language denoted by $r$.
How does a Deterministic Finite Automata (DFA) differ from a Non-deterministic Finite Automata (NFA) regarding implementing transitions?,"A DFA has exactly one transition for each state and input symbol, making it directly implementable in code."
What is the role of $\epsilon-CLOSURE(s)$ in the algorithm to convert an NFA to a DFA?,It identifies the set of all NFA states reachable from state $s$ on empty string ($\epsilon$) transitions.
What is the primary goal of partitioning states during DFA minimization?,To group equivalent states together to reduce the total number of states in the automaton.
What is the primary input and output of a parser (syntax analyzer)?,It takes a string of tokens as input and produces a parse tree as output.
How does top-down parsing differ from bottom-up parsing regarding parse tree construction?,"Top-down parsing builds the tree from the root to the leaves, while bottom-up parsing builds it from the leaves to the root."
"In the grammar $G = (V, T, R, S)$, what does the set $V$ represent?",The set of variables or non-terminals.
What is a Context-Free Grammar (CFG)?,"A grammar where every production rule is of the form $A \to \alpha$, where $A$ is a single non-terminal."
"If the start symbol $S$ derives a string $\alpha$ in one or more steps, what is $\alpha$ called?",A sentential form of the grammar.
What is a 'sentence' in the context of a formal grammar?,A sentential form that contains only terminal symbols.
What defines a 'leftmost derivation'?,"At each step of the derivation, the leftmost variable in the sentential form is chosen for replacement."
"In a parse tree, what are the internal nodes and leaves labeled with?","Internal nodes are labeled with variables (non-terminals), and leaves are labeled with terminals."
When is a grammar $G$ considered 'ambiguous'?,If a single sentence can be generated using two distinct leftmost (or rightmost) derivations.
What is the standard rule for resolving the 'dangling else' ambiguity in programming languages?,An `else` is matched with the closest unmatched `if-then` statement.
How can ambiguity be removed from an arithmetic expression grammar?,By encoding operator precedence and associativity directly into the grammar rules.
What is 'direct left recursion' in a grammar?,A production rule of the form $A \to A\alpha$ where the non-terminal on the left is the first symbol on the right.
Why is left recursion problematic for top-down parsers?,It can lead to an infinite loop as the parser repeatedly tries to expand the same non-terminal without consuming input.
What is the purpose of 'left factoring' a grammar?,To defer the decision between multiple productions starting with the same prefix until enough input is seen.
What is a Recursive Descent parser?,"A top-down parser that uses a set of recursive procedures, one for each non-terminal in the grammar."
What characterizes a 'Predictive Parser'?,It is a recursive descent parser that does not require backtracking because it can determine the correct production using lookahead.
Define the set $FIRST(X)$ for a grammar symbol $X$.,The set of terminals that can begin strings derived from $X$ (including $\epsilon$ if $X$ can derive an empty string).
Define the set $FOLLOW(A)$ for a non-terminal $A$.,The set of terminals that can appear immediately to the right of $A$ in some sentential form.
What special symbol is added to $FOLLOW(S)$ where $S$ is the start symbol?,"The endmarker symbol, often denoted as $."
"In an $LL(1)$ grammar, if $A \to \alpha$ and $A \to \beta$ are distinct productions, what must be true of $FIRST(\alpha)$ and $FIRST(\beta)$?",They must be disjoint (their intersection must be empty).
What does the '1' in $LL(1)$ signify?,The parser uses one symbol of lookahead to make parsing decisions.
What are the three components used by a non-recursive predictive parser?,"An input buffer, a stack, and a parsing table."
"During stack-based predictive parsing, if the top of the stack $X$ is a non-terminal and the input symbol is $a$, what action is taken?","The parser consults the parsing table $M[X, a]$ and replaces $X$ on the stack with the right-hand side of the corresponding production."
"In bottom-up parsing, what is a 'reduction'?",The process of replacing a specific substring (matching the right side of a production) with the variable at the head of that production.
What is a 'handle' in bottom-up parsing?,A substring that matches the right side of a production and whose reduction represents one step in the reverse of a rightmost derivation.
What is 'handle pruning'?,The process of identifying and reducing handles to transform an input string back to the start symbol.
What is an 'Abstract Syntax Tree' (AST)?,A condensed version of a parse tree that represents the essential syntax structure of the code without unnecessary grammatical details.
Define 'loop-invariant expressions' in code optimization.,Expressions within a loop whose values do not change during the execution of the loop.
What are 'induction variables' in loop optimization?,Variables whose values change by a constant amount every time the loop executes.
What is 'code motion' as a compiler optimization technique?,Moving loop-invariant expressions outside the loop so they are evaluated only once.
What is 'strength reduction' in code optimization?,"Replacing an expensive operation, like multiplication, with a cheaper one, like addition, often within a loop involving induction variables."
What is a 'cross-compiler'?,A compiler that runs on one machine architecture but generates target code for a different architecture.
How does an interpreter differ from a compiler in its execution method?,"An interpreter executes source code statement-by-statement, while a compiler translates the entire program into machine code before execution."
"In compiler construction, what are 'basic blocks'?",Sequences of consecutive statements in which flow of control enters at the beginning and leaves at the end without intermediate branches.
What is a 'flow graph'?,A directed graph where nodes represent basic blocks and edges represent the possible flow of control between them.
What is 'three-address code'?,"An intermediate representation where each instruction has at most three operands, typically of the form $x = y \text{ op } z$."
What is the purpose of a Directed Acyclic Graph (DAG) for a basic block?,To identify and eliminate common sub-expressions by representing the values computed within the block.
"In target code generation, what is the 'labeled tree method' used for?",To generate an optimal sequence of instructions that minimizes the number of registers needed to evaluate an expression tree.
What are the two types of parsing conflicts found in $LR$ parsers?,Shift/reduce conflicts and reduce/reduce conflicts.
"Which class of $LR$ parsers is the most powerful: $SLR(1)$, $LALR(1)$, or $CLR(1)$?",$CLR(1)$ (Canonical $LR$) is the most powerful.
What is the function of the `INSTALL()` routine in a lexical analyzer?,It inserts an identifier into the symbol table and returns a pointer to its entry.
How is 'indirect left recursion' defined?,"When a non-terminal $A$ derives a sentential form starting with $A$ after two or more steps, such as $A \to S\alpha$ and $S \to A\beta$."
"In the $LL(1)$ parsing table algorithm, if $\epsilon \in FIRST(\alpha)$ for the production $A \to \alpha$, where is the production added?","It is added to $M[A, b]$ for every terminal $b$ in $FOLLOW(A)$."
What is the 'Yield' of a parse tree?,The sequence of terminals formed by reading the leaves of the tree from left to right.
"In a syntax-directed translation (SDT) scheme, what is an 'annotated parse tree'?",A parse tree where each node is associated with attributes and values computed during the translation process.
What is the purpose of 'register allocation' in the back end of a compiler?,To decide which values in the program should reside in limited processor registers to improve execution speed.
"In an $NFA$, what does an input symbol lead to?","A set of possible next states, rather than a single deterministic state."
The process of reducing the number of states in a $DFA$ without changing the language it accepts is called _____.,State Minimization
"In the grammar $G$, the start variable $S$ is always a member of the set _____.",$V$ (Variables or Non-terminals)
What is the primary difference between a 'sentence' and a 'sentential form'?,"A sentence contains only terminals, while a sentential form can contain both terminals and non-terminals."
"If a grammar $G$ has the rules $E \to E + E$ and $E \to id$, why is it ambiguous?","Because for a string like $id + id + id$, there are two different ways to build the parse tree based on left or right grouping."
"To eliminate direct left recursion from $A \to A\alpha | \beta$, what are the new rules?",$A \to \beta A'$ and $A' \to \alpha A' | \epsilon$.
"In top-down parsing, the parser visits nodes in _____ order.",Preorder (or depth-first)
What happens if a predictive parser encounters an empty entry in its parsing table?,It reports a syntax error.
What is 'Universal Parsing'?,"Parsing algorithms like the CYK algorithm that can handle any Context-Free Grammar, though they are often inefficient for compilers."
What is the role of a 'Symbol Table' throughout all phases of compilation?,"It stores information about various entities such as variable names, types, scopes, and memory locations."
"In the compilation process, which phase typically follows 'Semantic Analysis'?",Intermediate Code Generation
What does a 'Semantic Analyzer' check for?,"It checks the source program for semantic consistency with the language definition, such as type checking."
"In regular expressions, the symbol $\epsilon$ represents a _____.",Empty string
What is the maximum number of lookahead symbols typically used in an $LL(k)$ parser?,$k$ symbols
A grammar that can be parsed by a shift-reduce parser is generally part of the _____ family.,"$LR$ (Left-to-right, Rightmost derivation)"
"In the context of loop optimization, what is 'unreachable code'?",Part of the program's code that can never be executed because there is no control flow path to it from the start.
What is the main advantage of compiled programs over interpreted ones?,Faster execution speed because the translation to machine code happens once before the program runs.
What does 'Relocatable Machine Code' mean?,Code that can be loaded into any part of the memory for execution by an operating system.
"In lexical analysis, what character typically signals the end of an input stream?",`eof` (End of File)
What is a 'viable prefix' in $LR$ parsing?,A prefix of a right-sentential form that can appear on the stack of a shift-reduce parser.
